"year","c2f6","c3f8","c4f10","c5f12","c6f14","c7f16","c8f18","c_c4f8","carbon_dioxide","carbon_tetrachloride","cf4","cfc113","cfc114","cfc115","cfc11","cfc12","ch2cl2","ch3ccl3","chcl3","halon1211","halon1301","halon2402","halon1202","hcfc141b","hcfc142b","hcfc22","hfc125","hfc134a","hfc143a","hfc152a","hfc227ea","hfc236fa","hfc23","hfc245fa","hfc32","hfc365mfc","hfc4310mee","methane","methyl_bromide","methyl_chloride","nf3","nitrous_oxide","sf6","so2f2","so2","nox","co","nmvoc","bc","nh3","oc","nox_avi"
2293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032698,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032698,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398006,5.1123416935544554,-145.01664085032692,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099331,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099331,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398006,5.1123416935544554,-145.01664085032692,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032698,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032698,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398006,5.1123416935544554,-145.01664085032692,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099331,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099331,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398006,5.1123416935544554,-145.01664085032692,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032698,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032698,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398006,5.1123416935544554,-145.01664085032692,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099331,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099331,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398006,5.1123416935544554,-145.01664085032692,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032698,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
2324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2466579,0.0,-0.30092479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1619659576038,-0.10508772999999999,-4.275744899999999,0.0,4.362116042398692,0.0,0.0,-1.0969291951398008,5.1123416935544554,-145.01664085032695,-20.80753714099332,-0.9725945020747395,40.783216601566835,-7.142624369292363,0.0
